收寄城市,寄达城市,距离
北京,北京,0
北京,天津,116
北京,石家庄,316
北京,唐山,197
北京,廊坊,47
北京,保定,170
北京,太原,525
北京,侯马,821
北京,呼和浩特,507
北京,包头,683
北京,沈阳,690
北京,大连,836
北京,锦州,470
北京,长春,981
北京,哈尔滨,1241
北京,上海,1214
北京,南京,1010
北京,常州,1094
北京,无锡,1115
北京,苏州,1157
北京,徐州,694
北京,连云港,736
北京,淮安,870
北京,盐城,935
北京,扬州,1010
北京,南通,1091
北京,杭州,1291
北京,湖州,1208
北京,嘉兴,1254
北京,宁波,1402
北京,台州,1536
北京,金华,1457
北京,义乌,1413
北京,温州,1582
北京,合肥,1015
北京,蚌埠,883
北京,芜湖,1098
北京,安庆,1185
北京,福州,1872
北京,厦门,2014
北京,泉州,1996
北京,南昌,1425
北京,鹰潭,1469
北京,赣州,1822
北京,济南,410
北京,潍坊,506
北京,烟台,716
北京,青岛,671
北京,济宁,572
北京,临沂,648
北京,郑州,701
北京,漯河,809
北京,信阳,982
北京,洛阳,805
北京,武汉,1153
北京,荆州,1277
北京,襄阳,1059
北京,长沙,1499
北京,常德,1421
北京,衡阳,1656
北京,广州,2129
北京,汕头,2150
北京,深圳,2201
北京,东莞,2169
北京,湛江,2469
北京,中山,2209
北京,南宁,2343
北京,柳州,2123
北京,海口,2640
北京,重庆,1828
北京,成都,1919
北京,南充,1752
北京,内江,1928
北京,贵阳,2079
北京,昆明,2600
北京,大理州,2916
北京,拉萨,3614
北京,西安,1102
北京,宝鸡,1266
北京,兰州,1487
北京,西宁,1669
北京,银川,1130
北京,乌鲁木齐,2844
北京,阿克苏,3556
北京,喀什,4029
天津,北京,112
天津,天津,0
天津,石家庄,323
天津,唐山,124
天津,廊坊,83
天津,保定,177
天津,太原,535
天津,侯马,828
天津,呼和浩特,614
天津,包头,790
天津,沈阳,670
天津,大连,816
天津,锦州,450
天津,长春,961
天津,哈尔滨,1221
天津,上海,1108
天津,南京,937
天津,常州,1001
天津,无锡,1022
天津,苏州,1065
天津,徐州,621
天津,连云港,630
天津,淮安,764
天津,盐城,829
天津,扬州,917
天津,南通,985
天津,杭州,1230
天津,湖州,1129
天津,嘉兴,1148
天津,宁波,1296
天津,台州,1431
天津,金华,1382
天津,义乌,1339
天津,温州,1508
天津,合肥,943
天津,蚌埠,810
天津,芜湖,1026
天津,安庆,1112
天津,福州,1810
天津,厦门,1952
天津,泉州,1934
天津,南昌,1336
天津,鹰潭,1406
天津,赣州,1733
天津,济南,338
天津,潍坊,400
天津,烟台,610
天津,青岛,566
天津,济宁,500
天津,临沂,580
天津,郑州,708
天津,漯河,800
天津,信阳,973
天津,洛阳,812
天津,武汉,1145
天津,荆州,1268
天津,襄阳,1051
天津,长沙,1491
天津,常德,1413
天津,衡阳,1648
天津,广州,2120
天津,汕头,2087
天津,深圳,2148
天津,东莞,2161
天津,湛江,2461
天津,中山,2200
天津,南宁,2334
天津,柳州,2114
天津,海口,2631
天津,重庆,1835
天津,成都,1926
天津,南充,1758
天津,内江,1935
天津,贵阳,2071
天津,昆明,2591
天津,大理州,2908
天津,拉萨,3649
天津,西安,1108
天津,宝鸡,1273
天津,兰州,1522
天津,西宁,1704
天津,银川,1142
天津,乌鲁木齐,2951
天津,阿克苏,3663
天津,喀什,4136
石家庄,北京,316
石家庄,天津,327
石家庄,石家庄,0
石家庄,唐山,441
石家庄,廊坊,302
石家庄,保定,156
石家庄,太原,225
石家庄,侯马,514
石家庄,呼和浩特,595
石家庄,包头,772
石家庄,沈阳,987
石家庄,大连,1133
石家庄,锦州,767
石家庄,长春,1278
石家庄,哈尔滨,1538
石家庄,上海,1137
石家庄,南京,900
石家庄,常州,985
石家庄,无锡,1005
石家庄,苏州,1048
石家庄,徐州,584
石家庄,连云港,660
石家庄,淮安,760
石家庄,盐城,840
石家庄,扬州,901
石家庄,南通,1015
石家庄,杭州,1182
石家庄,湖州,1099
石家庄,嘉兴,1131
石家庄,宁波,1299
石家庄,台州,1413
石家庄,金华,1347
石家庄,义乌,1304
石家庄,温州,1473
石家庄,合肥,873
石家庄,蚌埠,766
石家庄,芜湖,989
石家庄,安庆,1043
石家庄,福州,1683
石家庄,厦门,1852
石家庄,泉州,1834
石家庄,南昌,1227
石家庄,鹰潭,1279
石家庄,赣州,1624
石家庄,济南,329
石家庄,潍坊,486
石家庄,烟台,731
石家庄,青岛,673
石家庄,济宁,463
石家庄,临沂,538
石家庄,郑州,415
石家庄,漯河,539
石家庄,信阳,712
石家庄,洛阳,520
石家庄,武汉,897
石家庄,荆州,1007
石家庄,襄阳,789
石家庄,长沙,1229
石家庄,常德,1151
石家庄,衡阳,1387
石家庄,广州,1859
石家庄,汕头,1987
石家庄,深圳,1932
石家庄,东莞,1900
石家庄,湛江,2199
石家庄,中山,1939
石家庄,南宁,2073
石家庄,柳州,1853
石家庄,海口,2370
石家庄,重庆,1483
石家庄,成都,1574
石家庄,南充,1406
石家庄,内江,1583
石家庄,贵阳,1809
石家庄,昆明,2330
石家庄,大理州,2646
石家庄,拉萨,3387
石家庄,西安,801
石家庄,宝鸡,966
石家庄,兰州,1260
石家庄,西宁,1442
石家庄,银川,947
石家庄,乌鲁木齐,2933
石家庄,阿克苏,3645
石家庄,喀什,4118
唐山,北京,166
唐山,天津,132
唐山,石家庄,445
唐山,唐山,0
唐山,廊坊,171
唐山,保定,297
唐山,太原,655
唐山,侯马,948
唐山,呼和浩特,664
唐山,包头,841
唐山,沈阳,560
唐山,大连,706
唐山,锦州,340
唐山,长春,851
唐山,哈尔滨,1111
唐山,上海,1218
唐山,南京,1047
唐山,常州,1112
唐山,无锡,1132
唐山,苏州,1175
唐山,徐州,731
唐山,连云港,740
唐山,淮安,874
唐山,盐城,939
唐山,扬州,1027
唐山,南通,1095
唐山,杭州,1340
唐山,湖州,1239
唐山,嘉兴,1258
唐山,宁波,1407
唐山,台州,1541
唐山,金华,1493
唐山,义乌,1449
唐山,温州,1618
唐山,合肥,1053
唐山,蚌埠,920
唐山,芜湖,1136
唐山,安庆,1222
唐山,福州,1920
唐山,厦门,2062
唐山,泉州,2044
唐山,南昌,1448
唐山,鹰潭,1517
唐山,赣州,1845
唐山,济南,448
唐山,潍坊,510
唐山,烟台,720
唐山,青岛,676
唐山,济宁,610
唐山,临沂,690
唐山,郑州,828
唐山,漯河,920
唐山,信阳,1093
唐山,洛阳,932
唐山,武汉,1265
唐山,荆州,1388
唐山,襄阳,1171
唐山,长沙,1610
唐山,常德,1533
唐山,衡阳,1768
唐山,广州,2240
唐山,汕头,2197
唐山,深圳,2261
唐山,东莞,2281
唐山,湛江,2580
唐山,中山,2320
唐山,南宁,2454
唐山,柳州,2234
唐山,海口,2751
唐山,重庆,1955
唐山,成都,2046
唐山,南充,1878
唐山,内江,2055
唐山,贵阳,2191
唐山,昆明,2711
唐山,大理州,3028
唐山,拉萨,3755
唐山,西安,1228
唐山,宝鸡,1393
唐山,兰州,1628
唐山,西宁,1810
唐山,银川,1248
唐山,乌鲁木齐,3001
唐山,阿克苏,3714
唐山,喀什,4186
廊坊,北京,44
廊坊,天津,91
廊坊,石家庄,300
廊坊,唐山,169
廊坊,廊坊,0
廊坊,保定,152
廊坊,太原,507
廊坊,侯马,803
廊坊,呼和浩特,546
廊坊,包头,722
廊坊,沈阳,705
廊坊,大连,850
廊坊,锦州,484
廊坊,长春,996
廊坊,哈尔滨,1255
廊坊,上海,1174
廊坊,南京,971
廊坊,常州,1055
廊坊,无锡,1075
廊坊,苏州,1118
廊坊,徐州,654
廊坊,连云港,696
廊坊,淮安,831
廊坊,盐城,895
廊坊,扬州,971
廊坊,南通,1051
廊坊,杭州,1252
廊坊,湖州,1169
廊坊,嘉兴,1214
廊坊,宁波,1363
廊坊,台州,1497
廊坊,金华,1418
廊坊,义乌,1374
廊坊,温州,1543
廊坊,合肥,976
廊坊,蚌埠,844
廊坊,芜湖,1059
廊坊,安庆,1145
廊坊,福州,1849
廊坊,厦门,1992
廊坊,泉州,1974
廊坊,南昌,1402
廊坊,鹰潭,1446
廊坊,赣州,1799
廊坊,济南,370
廊坊,潍坊,466
廊坊,烟台,676
廊坊,青岛,632
廊坊,济宁,533
廊坊,临沂,609
廊坊,郑州,683
廊坊,漯河,786
廊坊,信阳,959
廊坊,洛阳,787
廊坊,武汉,1130
廊坊,荆州,1254
廊坊,襄阳,1036
廊坊,长沙,1476
廊坊,常德,1398
廊坊,衡阳,1633
廊坊,广州,2106
廊坊,汕头,2127
廊坊,深圳,2178
廊坊,东莞,2146
廊坊,湛江,2446
廊坊,中山,2186
廊坊,南宁,2320
廊坊,柳州,2100
廊坊,海口,2617
廊坊,重庆,1810
廊坊,成都,1901
廊坊,南充,1734
廊坊,内江,1910
廊坊,贵阳,2056
廊坊,昆明,2579
廊坊,大理州,2895
廊坊,拉萨,3596
廊坊,西安,1084
廊坊,宝鸡,1248
廊坊,兰州,1469
廊坊,西宁,1651
廊坊,银川,1089
廊坊,乌鲁木齐,2883
廊坊,阿克苏,3595
廊坊,喀什,4068
保定,北京,168
保定,天津,180
保定,石家庄,169
保定,唐山,294
保定,廊坊,155
保定,保定,0
保定,太原,366
保定,侯马,655
保定,呼和浩特,521
保定,包头,698
保定,沈阳,840
保定,大连,986
保定,锦州,619
保定,长春,1131
保定,哈尔滨,1390
保定,上海,1177
保定,南京,940
保定,常州,1024
保定,无锡,1045
保定,苏州,1088
保定,徐州,626
保定,连云港,700
保定,淮安,800
保定,盐城,879
保定,扬州,941
保定,南通,1054
保定,杭州,1221
保定,湖州,1138
保定,嘉兴,1170
保定,宁波,1338
保定,台州,1453
保定,金华,1387
保定,义乌,1343
保定,温州,1512
保定,合肥,948
保定,蚌埠,813
保定,芜湖,1029
保定,安庆,1117
保定,福州,1757
保定,厦门,1899
保定,泉州,1881
保定,南昌,1310
保定,鹰潭,1354
保定,赣州,1698
保定,济南,366
保定,潍坊,500
保定,烟台,710
保定,青岛,666
保定,济宁,502
保定,临沂,578
保定,郑州,541
保定,漯河,665
保定,信阳,838
保定,洛阳,645
保定,武汉,1022
保定,荆州,1133
保定,襄阳,915
保定,长沙,1355
保定,常德,1277
保定,衡阳,1512
保定,广州,1985
保定,汕头,2035
保定,深圳,2094
保定,东莞,2025
保定,湛江,2325
保定,中山,2065
保定,南宁,2199
保定,柳州,1979
保定,海口,2496
保定,重庆,1668
保定,成都,1758
保定,南充,1592
保定,内江,1768
保定,贵阳,1935
保定,昆明,2455
保定,大理州,2772
保定,拉萨,3506
保定,西安,935
保定,宝鸡,1100
保定,兰州,1379
保定,西宁,1561
保定,银川,1000
保定,乌鲁木齐,2855
保定,阿克苏,3570
保定,喀什,4043
太原,北京,508
太原,天津,523
太原,石家庄,225
太原,唐山,637
太原,廊坊,495
太原,保定,350
太原,太原,0
太原,侯马,341
太原,呼和浩特,458
太原,包头,635
太原,沈阳,1183
太原,大连,1329
太原,锦州,963
太原,长春,1474
太原,哈尔滨,1734
太原,上海,1357
太原,南京,1080
太原,常州,1191
太原,无锡,1234
太原,苏州,1277
太原,徐州,778
太原,连云港,880
太原,淮安,959
太原,盐城,1091
太原,扬州,1092
太原,南通,1234
太原,杭州,1361
太原,湖州,1278
太原,嘉兴,1359
太原,宁波,1507
太原,台州,1642
太原,金华,1527
太原,义乌,1483
太原,温州,1653
太原,合肥,1001
太原,蚌埠,893
太原,芜湖,1118
太原,安庆,1170
太原,福州,1810
太原,厦门,1907
太原,泉州,1889
太原,南昌,1282
太原,鹰潭,1406
太原,赣州,1671
太原,济南,548
太原,潍坊,706
太原,烟台,951
太原,青岛,892
太原,济宁,667
太原,临沂,758
太原,郑州,427
太原,漯河,584
太原,信阳,757
太原,洛阳,417
太原,武汉,941
太原,荆州,972
太原,襄阳,754
太原,长沙,1233
太原,常德,1116
太原,衡阳,1390
太原,广州,1870
太原,汕头,2042
太原,深圳,1976
太原,东莞,1910
太原,湛江,2203
太原,中山,1949
太原,南宁,2076
太原,柳州,1856
太原,海口,2374
太原,重庆,1303
太原,成都,1392
太原,南充,1227
太原,内江,1403
太原,贵阳,1687
太原,昆明,2102
太原,大理州,2419
太原,拉萨,3195
太原,西安,621
太原,宝鸡,786
太原,兰州,1068
太原,西宁,1250
太原,银川,755
太原,乌鲁木齐,2792
太原,阿克苏,3508
太原,喀什,3981
侯马,北京,819
侯马,天津,822
侯马,石家庄,536
侯马,唐山,930
侯马,廊坊,806
侯马,保定,660
侯马,太原,325
侯马,侯马,0
侯马,呼和浩特,811
侯马,包头,866
侯马,沈阳,1476
侯马,大连,1622
侯马,锦州,1256
侯马,长春,1767
侯马,哈尔滨,2027
侯马,上海,1232
侯马,南京,955
侯马,常州,1066
侯马,无锡,1109
侯马,苏州,1152
侯马,徐州,653
侯马,连云港,856
侯马,淮安,834
侯马,盐城,966
侯马,扬州,968
侯马,南通,1144
侯马,杭州,1237
侯马,湖州,1154
侯马,嘉兴,1235
侯马,宁波,1382
侯马,台州,1514
侯马,金华,1402
侯马,义乌,1364
侯马,温州,1528
侯马,合肥,853
侯马,蚌埠,769
侯马,芜湖,994
侯马,安庆,1022
侯马,福州,1662
侯马,厦门,1747
侯马,泉州,1729
侯马,南昌,1122
侯马,鹰潭,1259
侯马,赣州,1498
侯马,济南,673
侯马,潍坊,833
侯马,烟台,1078
侯马,青岛,1019
侯马,济宁,598
侯马,临沂,784
侯马,郑州,301
侯马,漯河,435
侯马,信阳,585
侯马,洛阳,222
侯马,武汉,775
侯马,荆州,777
侯马,襄阳,559
侯马,长沙,1038
侯马,常德,921
侯马,衡阳,1195
侯马,广州,1675
侯马,汕头,1882
侯马,深圳,1781
侯马,东莞,1715
侯马,湛江,2008
侯马,中山,1754
侯马,南宁,1881
侯马,柳州,1662
侯马,海口,2179
侯马,重庆,999
侯马,成都,1091
侯马,南充,923
侯马,内江,1099
侯马,贵阳,1383
侯马,昆明,1799
侯马,大理州,2115
侯马,拉萨,3081
侯马,西安,322
侯马,宝鸡,487
侯马,兰州,917
侯马,西宁,1136
侯马,银川,757
侯马,乌鲁木齐,2802
侯马,阿克苏,3514
侯马,喀什,3987
呼和浩特,北京,518
呼和浩特,天津,633
呼和浩特,石家庄,594
呼和浩特,唐山,675
呼和浩特,廊坊,571
呼和浩特,保定,521
呼和浩特,太原,453
呼和浩特,侯马,795
呼和浩特,呼和浩特,0
呼和浩特,包头,188
呼和浩特,沈阳,1191
呼和浩特,大连,1337
呼和浩特,锦州,971
呼和浩特,长春,1446
呼和浩特,哈尔滨,1698
呼和浩特,上海,1691
呼和浩特,南京,1454
呼和浩特,常州,1538
呼和浩特,无锡,1558
呼和浩特,苏州,1601
呼和浩特,徐州,1139
呼和浩特,连云港,1213
呼和浩特,淮安,1314
呼和浩特,盐城,1393
呼和浩特,扬州,1454
呼和浩特,南通,1568
呼和浩特,杭州,1735
呼和浩特,湖州,1652
呼和浩特,嘉兴,1684
呼和浩特,宁波,1852
呼和浩特,台州,1966
呼和浩特,金华,1900
呼和浩特,义乌,1857
呼和浩特,温州,2026
呼和浩特,合肥,1462
呼和浩特,蚌埠,1327
呼和浩特,芜湖,1542
呼和浩特,安庆,1631
呼和浩特,福州,2271
呼和浩特,厦门,2362
呼和浩特,泉州,2344
呼和浩特,南昌,1737
呼和浩特,鹰潭,1868
呼和浩特,赣州,2126
呼和浩特,济南,882
呼和浩特,潍坊,1022
呼和浩特,烟台,1232
呼和浩特,青岛,1188
呼和浩特,济宁,1016
呼和浩特,临沂,1092
呼和浩特,郑州,882
呼和浩特,漯河,1039
呼和浩特,信阳,1212
呼和浩特,洛阳,872
呼和浩特,武汉,1396
呼和浩特,荆州,1427
呼和浩特,襄阳,1209
呼和浩特,长沙,1688
呼和浩特,常德,1571
呼和浩特,衡阳,1845
呼和浩特,广州,2325
