中心局,大件处理量
北京,243787.0
天津,209770.0
石家庄,225342.0
唐山,30760.0
廊坊,38195.0
保定,62986.0
太原,111620.0
侯马,50498.0
呼和浩特,81234.0
包头,16534.0
沈阳,155545.0
大连,33815.0
锦州,33741.0
长春,109185.0
哈尔滨,150817.0
上海,258555.0
南京,302043.0
常州,133623.0
无锡,129679.0
苏州,166641.0
徐州,268847.0
连云港,36825.0
淮安,27269.0
盐城,38752.0
扬州,49169.0
南通,113162.0
杭州,261856.0
湖州,41080.0
嘉兴,51733.0
宁波,127768.0
台州,78016.0
金华,319681.0
义乌,254396.0
温州,92734.0
合肥,310671.0
蚌埠,121177.0
芜湖,65355.0
安庆,97583.0
福州,177486.0
厦门,155570.0
泉州,137848.0
南昌,219077.0
鹰潭,34846.0
赣州,58535.0
济南,413778.0
潍坊,51076.0
烟台,48714.0
青岛,107920.0
济宁,54650.0
临沂,46969.0
郑州,511207.0
漯河,94340.0
信阳,86943.0
洛阳,91330.0
武汉,434881.0
荆州,21916.0
襄阳,44874.0
长沙,375402.0
常德,36546.0
衡阳,83016.0
广州,566775.0
汕头,79952.0
深圳,121135.0
东莞,108877.0
湛江,53755.0
中山,114762.0
南宁,192524.0
柳州,45806.0
海口,47675.0
重庆,217972.0
成都,264999.0
南充,48306.0
内江,12622.0
贵阳,128912.0
昆明,126855.0
大理州,27292.0
拉萨,10616.0
西安,385340.0
宝鸡,28783.0
兰州,101144.0
西宁,22628.0
银川,35865.0
乌鲁木齐,59370.0
阿克苏,15425.0
喀什,3371.0
