中心局,集包件处理量
北京,16028.0
天津,13619.0
石家庄,19334.0
唐山,2666.0
廊坊,3629.0
保定,6673.0
太原,7281.0
侯马,3598.0
呼和浩特,5896.0
包头,1275.0
沈阳,14491.0
大连,2762.0
锦州,2793.0
长春,7700.0
哈尔滨,9823.0
上海,20133.0
南京,25643.0
常州,13613.0
无锡,16042.0
苏州,18204.0
徐州,17693.0
连云港,4637.0
淮安,2737.0
盐城,5257.0
扬州,4551.0
南通,6571.0
杭州,45587.0
湖州,10964.0
嘉兴,10291.0
宁波,14534.0
台州,16985.0
金华,40916.0
义乌,30626.0
温州,15700.0
合肥,29144.0
蚌埠,11455.0
芜湖,5816.0
安庆,9125.0
福州,16115.0
厦门,9386.0
泉州,6608.0
南昌,17308.0
鹰潭,3362.0
赣州,2852.0
济南,34700.0
潍坊,4162.0
烟台,3730.0
青岛,9147.0
济宁,3846.0
临沂,4151.0
郑州,37983.0
漯河,6236.0
信阳,7712.0
洛阳,8482.0
武汉,28057.0
荆州,2144.0
襄阳,3136.0
长沙,27157.0
常德,2761.0
衡阳,4774.0
广州,47811.0
汕头,7695.0
深圳,14639.0
东莞,12846.0
湛江,3936.0
中山,9704.0
南宁,9514.0
柳州,3181.0
海口,3677.0
重庆,11814.0
成都,16604.0
南充,3731.0
内江,730.0
贵阳,9543.0
昆明,9149.0
大理州,1846.0
拉萨,878.0
西安,20726.0
宝鸡,891.0
兰州,8129.0
西宁,1795.0
银川,2999.0
乌鲁木齐,4220.0
阿克苏,1322.0
喀什,372.0
