收寄城市,寄达城市,车辆使用情况,车辆成本
北京,北京,,
北京,天津,"北京-天津的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",1698.0079999999998
北京,石家庄,"北京-石家庄的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",2617.7439999999997
北京,唐山,"北京-唐山的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",1631.9479999999999
北京,廊坊,"北京-廊坊的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",389.34799999999996
北京,保定,"北京-保定的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",1408.28
北京,太原,"北京-太原的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",5091.45
北京,侯马,"北京-侯马的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及1辆40t委办车,0辆20t委办车,0辆12t委办车",13507.092
北京,呼和浩特,"北京-呼和浩特的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",9833.771999999999
北京,包头,,
北京,沈阳,"北京-沈阳的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",12051.539999999999
北京,大连,"北京-大连的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及2辆40t委办车,2辆20t委办车,0辆12t委办车",63986.60399999999
北京,锦州,"北京-锦州的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及1辆40t委办车,1辆20t委办车,0辆12t委办车",22091.175
北京,长春,"北京-长春的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",17134.146
北京,哈尔滨,"北京-哈尔滨的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",24070.435999999998
北京,上海,"北京-上海的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",11773.372
北京,南京,"北京-南京的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",17640.659999999996
北京,常州,,
北京,无锡,,
北京,苏州,,
北京,徐州,"北京-徐州的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",13460.824
北京,连云港,,
北京,淮安,,
北京,盐城,,
北京,扬州,,
北京,南通,,
北京,杭州,"北京-杭州的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",12520.117999999999
北京,湖州,,
北京,嘉兴,,
北京,宁波,,
北京,台州,,
北京,金华,,
北京,义乌,,
北京,温州,,
北京,合肥,,
北京,蚌埠,,
北京,芜湖,,
北京,安庆,,
北京,福州,"北京-福州的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",18154.656
北京,厦门,,
北京,泉州,,
北京,南昌,"北京-南昌的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",13819.65
北京,鹰潭,,
北京,赣州,,
北京,济南,"北京-济南的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",7161.0599999999995
北京,潍坊,,
北京,烟台,,
北京,青岛,"北京-青岛的邮路使用2辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",18227.043999999998
北京,济宁,,
北京,临沂,,
北京,郑州,"北京-郑州的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",12243.666
北京,漯河,,
北京,信阳,,
北京,洛阳,,
北京,武汉,"北京-武汉的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",20138.298000000003
北京,荆州,,
北京,襄阳,,
北京,长沙,"北京-长沙的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",29074.604
北京,常德,,
北京,衡阳,,
北京,广州,"北京-广州的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",37185.114
北京,汕头,,
北京,深圳,,
北京,东莞,,
北京,湛江,,
北京,中山,,
北京,南宁,,
北京,柳州,,
北京,海口,,
北京,重庆,"北京-重庆的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",17727.944
北京,成都,"北京-成都的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",18610.462
北京,南充,,
北京,内江,,
北京,贵阳,"北京-贵阳的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",20162.142
北京,昆明,,
北京,大理州,,
北京,拉萨,,
北京,西安,"北京-西安的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",19247.532
北京,宝鸡,,
北京,兰州,"北京-兰州的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",30163.795
北京,西宁,"北京-西宁的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",17669.703
北京,银川,"北京-银川的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,1辆20t委办车,1辆12t委办车",26748.795
北京,乌鲁木齐,,
北京,阿克苏,,
北京,喀什,,
天津,北京,"天津-北京的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,1辆20t委办车,0辆12t委办车",2867.3679999999995
天津,天津,,
天津,石家庄,"天津-石家庄的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",4728.074
天津,唐山,"天津-唐山的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及6辆40t委办车,0辆20t委办车,0辆12t委办车",12716.696
天津,廊坊,"天津-廊坊的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",687.5719999999999
天津,保定,,
天津,太原,"天津-太原的邮路使用1辆40t自办车,0辆20t自办车,1辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",8964.46
天津,侯马,,
天津,呼和浩特,"天津-呼和浩特的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及1辆40t委办车,0辆20t委办车,0辆12t委办车",10101.527999999998
天津,包头,,
天津,沈阳,"天津-沈阳的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,2辆20t委办车,0辆12t委办车",29235.449999999997
天津,大连,,
天津,锦州,,
天津,长春,"天津-长春的邮路使用3辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",27959.334
天津,哈尔滨,"天津-哈尔滨的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及8辆40t委办车,0辆20t委办车,0辆12t委办车",184385.652
天津,上海,"天津-上海的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及1辆40t委办车,0辆20t委办车,1辆12t委办车",40704.596
天津,南京,"天津-南京的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",26285.661
天津,常州,,
天津,无锡,,
天津,苏州,,
天津,徐州,,
天津,连云港,,
天津,淮安,,
天津,盐城,,
天津,扬州,,
天津,南通,,
天津,杭州,"天津-杭州的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",11928.539999999999
天津,湖州,,
天津,嘉兴,,
天津,宁波,,
天津,台州,,
天津,金华,,
天津,义乌,,
天津,温州,,
天津,合肥,,
天津,蚌埠,,
天津,芜湖,,
天津,安庆,,
天津,福州,,
天津,厦门,,
天津,泉州,,
天津,南昌,"天津-南昌的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",23334.575999999997
天津,鹰潭,,
天津,赣州,,
天津,济南,"天津-济南的邮路使用4辆40t自办车,0辆20t自办车,1辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",13107.640000000001
天津,潍坊,,
天津,烟台,,
天津,青岛,,
天津,济宁,,
天津,临沂,,
天津,郑州,"天津-郑州的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",13732.367999999999
天津,漯河,,
天津,信阳,,
天津,洛阳,,
天津,武汉,"天津-武汉的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",19998.57
天津,荆州,,
天津,襄阳,,
天津,长沙,"天津-长沙的邮路使用1辆40t自办车,0辆20t自办车,1辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",24983.196000000004
天津,常德,,
天津,衡阳,,
天津,广州,"天津-广州的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",41119.52
天津,汕头,,
天津,深圳,,
天津,东莞,,
天津,湛江,,
天津,中山,,
天津,南宁,,
天津,柳州,,
天津,海口,,
天津,重庆,,
天津,成都,,
天津,南充,,
天津,内江,,
天津,贵阳,,
天津,昆明,,
天津,大理州,,
天津,拉萨,,
天津,西安,"天津-西安的邮路使用2辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",30097.711999999992
天津,宝鸡,,
天津,兰州,,
天津,西宁,,
天津,银川,,
天津,乌鲁木齐,,
天津,阿克苏,,
天津,喀什,,
石家庄,北京,"石家庄-北京的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及1辆40t委办车,2辆20t委办车,0辆12t委办车",14075.272
石家庄,天津,"石家庄-天津的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",4786.625999999999
石家庄,石家庄,,
石家庄,唐山,"石家庄-唐山的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及1辆40t委办车,0辆20t委办车,0辆12t委办车",11532.15
石家庄,廊坊,"石家庄-廊坊的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",2501.768
石家庄,保定,"石家庄-保定的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及7辆40t委办车,0辆20t委办车,0辆12t委办车",17932.98
石家庄,太原,"石家庄-太原的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及1辆40t委办车,0辆20t委办车,0辆12t委办车",5088.375
石家庄,侯马,,
石家庄,呼和浩特,"石家庄-呼和浩特的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",12069.574999999999
石家庄,包头,,
石家庄,沈阳,"石家庄-沈阳的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",20021.295
石家庄,大连,,
石家庄,锦州,,
石家庄,长春,"石家庄-长春的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,2辆12t委办车",27060.372
石家庄,哈尔滨,"石家庄-哈尔滨的邮路使用1辆40t自办车,0辆20t自办车,1辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",25770.728
石家庄,上海,"石家庄-上海的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",23064.045
石家庄,南京,"石家庄-南京的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及2辆40t委办车,0辆20t委办车,1辆12t委办车",54861.3
石家庄,常州,,
石家庄,无锡,,
石家庄,苏州,,
石家庄,徐州,,
石家庄,连云港,,
石家庄,淮安,,
石家庄,盐城,,
石家庄,扬州,,
石家庄,南通,,
石家庄,杭州,"石家庄-杭州的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",11463.035999999998
石家庄,湖州,,
石家庄,嘉兴,,
石家庄,宁波,,
石家庄,台州,,
石家庄,金华,,
石家庄,义乌,,
石家庄,温州,,
石家庄,合肥,"石家庄-合肥的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",8466.354
石家庄,蚌埠,"石家庄-蚌埠的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",7428.668
石家庄,芜湖,,
石家庄,安庆,,
石家庄,福州,"石家庄-福州的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",32643.468
石家庄,厦门,,
石家庄,泉州,,
石家庄,南昌,"石家庄-南昌的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",23798.891999999996
石家庄,鹰潭,,
石家庄,赣州,,
石家庄,济南,"石家庄-济南的邮路使用4辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,1辆20t委办车,0辆12t委办车",14508.735499999999
石家庄,潍坊,,
石家庄,烟台,,
石家庄,青岛,,
石家庄,济宁,,
石家庄,临沂,,
石家庄,郑州,"石家庄-郑州的邮路使用4辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",16098.679999999997
石家庄,漯河,,
石家庄,信阳,,
石家庄,洛阳,,
石家庄,武汉,"石家庄-武汉的邮路使用2辆40t自办车,0辆20t自办车,1辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",23729.237999999998
石家庄,荆州,,
石家庄,襄阳,,
石家庄,长沙,"石家庄-长沙的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",34477.137
石家庄,常德,,
石家庄,衡阳,,
石家庄,广州,"石家庄-广州的邮路使用1辆40t自办车,2辆20t自办车,0辆12t自办车以及1辆40t委办车,0辆20t委办车,0辆12t委办车",77494.274
石家庄,汕头,,
石家庄,深圳,,
石家庄,东莞,,
石家庄,湛江,,
石家庄,中山,,
石家庄,南宁,"石家庄-南宁的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",42050.805
石家庄,柳州,,
石家庄,海口,,
石家庄,重庆,"石家庄-重庆的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,2辆20t委办车,0辆12t委办车",53190.761
石家庄,成都,"石家庄-成都的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,1辆20t委办车,1辆12t委办车",52523.59299999999
石家庄,南充,,
石家庄,内江,,
石家庄,贵阳,"石家庄-贵阳的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,2辆12t委办车",38303.766
石家庄,昆明,,
石家庄,大理州,,
石家庄,拉萨,,
石家庄,西安,"石家庄-西安的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及1辆40t委办车,0辆20t委办车,0辆12t委办车",27168.318
石家庄,宝鸡,,
石家庄,兰州,"石家庄-兰州的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及2辆40t委办车,0辆20t委办车,0辆12t委办车",41459.03999999999
石家庄,西宁,,
石家庄,银川,,
石家庄,乌鲁木齐,,
石家庄,阿克苏,,
石家庄,喀什,,
唐山,北京,"唐山-北京的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",1375.1439999999998
唐山,天津,"唐山-天津的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",2186.9759999999997
唐山,石家庄,"唐山-石家庄的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",4315.61
唐山,唐山,,
唐山,廊坊,"唐山-廊坊的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",1416.564
唐山,保定,"唐山-保定的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",2460.348
唐山,太原,,
唐山,侯马,,
唐山,呼和浩特,,
唐山,包头,,
唐山,沈阳,,
唐山,大连,,
唐山,锦州,,
唐山,长春,,
唐山,哈尔滨,,
唐山,上海,,
唐山,南京,,
唐山,常州,,
唐山,无锡,,
唐山,苏州,,
唐山,徐州,,
唐山,连云港,,
唐山,淮安,,
唐山,盐城,,
唐山,扬州,,
唐山,南通,,
唐山,杭州,,
唐山,湖州,,
唐山,嘉兴,,
唐山,宁波,,
唐山,台州,,
唐山,金华,,
唐山,义乌,,
唐山,温州,,
唐山,合肥,,
唐山,蚌埠,,
唐山,芜湖,,
唐山,安庆,,
唐山,福州,,
唐山,厦门,,
唐山,泉州,,
唐山,南昌,,
唐山,鹰潭,,
唐山,赣州,,
唐山,济南,,
唐山,潍坊,,
唐山,烟台,,
唐山,青岛,,
唐山,济宁,,
唐山,临沂,,
唐山,郑州,,
唐山,漯河,,
唐山,信阳,,
唐山,洛阳,,
唐山,武汉,,
唐山,荆州,,
唐山,襄阳,,
唐山,长沙,,
唐山,常德,,
唐山,衡阳,,
唐山,广州,,
唐山,汕头,,
唐山,深圳,,
唐山,东莞,,
唐山,湛江,,
唐山,中山,,
唐山,南宁,,
唐山,柳州,,
唐山,海口,,
唐山,重庆,,
唐山,成都,,
唐山,南充,,
唐山,内江,,
唐山,贵阳,,
唐山,昆明,,
唐山,大理州,,
唐山,拉萨,,
唐山,西安,,
唐山,宝鸡,,
唐山,兰州,,
唐山,西宁,,
唐山,银川,,
唐山,乌鲁木齐,,
唐山,阿克苏,,
唐山,喀什,,
廊坊,北京,"廊坊-北京的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",737.0
廊坊,天津,"廊坊-天津的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",753.8439999999999
廊坊,石家庄,"廊坊-石家庄的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",2485.2
廊坊,唐山,"廊坊-唐山的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",1399.9959999999999
廊坊,廊坊,,
廊坊,保定,"廊坊-保定的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",1259.1679999999997
廊坊,太原,"廊坊-太原的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,1辆20t委办车,0辆12t委办车",6633.841499999999
廊坊,侯马,,
廊坊,呼和浩特,,
廊坊,包头,,
廊坊,沈阳,"廊坊-沈阳的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",6837.089999999999
廊坊,大连,,
廊坊,锦州,,
廊坊,长春,,
廊坊,哈尔滨,"廊坊-哈尔滨的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",12170.989999999998
廊坊,上海,,
廊坊,南京,,
廊坊,常州,,
廊坊,无锡,"廊坊-无锡的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",10425.349999999999
廊坊,苏州,,
廊坊,徐州,,
廊坊,连云港,,
廊坊,淮安,,
廊坊,盐城,,
廊坊,扬州,,
廊坊,南通,,
廊坊,杭州,"廊坊-杭州的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",12141.895999999999
廊坊,湖州,,
廊坊,嘉兴,,
廊坊,宁波,,
廊坊,台州,,
廊坊,金华,,
廊坊,义乌,,
廊坊,温州,,
廊坊,合肥,,
廊坊,蚌埠,,
廊坊,芜湖,,
廊坊,安庆,,
廊坊,福州,,
廊坊,厦门,,
廊坊,泉州,,
廊坊,南昌,"廊坊-南昌的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",13596.595999999998
廊坊,鹰潭,,
廊坊,赣州,,
廊坊,济南,"廊坊-济南的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",3065.08
廊坊,潍坊,,
廊坊,烟台,,
廊坊,青岛,,
廊坊,济宁,,
廊坊,临沂,,
廊坊,郑州,"廊坊-郑州的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",6623.733999999999
廊坊,漯河,,
廊坊,信阳,,
廊坊,洛阳,,
廊坊,武汉,"廊坊-武汉的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",10958.739999999998
