城市名称,所属省会中心,所属区域集散中心
北京,北京,北京
天津,天津,北京
石家庄,石家庄,北京
唐山,石家庄,北京
廊坊,石家庄,北京
保定,石家庄,北京
太原,太原,北京
侯马,太原,西安
呼和浩特,呼和浩特,北京
包头,呼和浩特,北京
沈阳,沈阳,沈阳
大连,沈阳,沈阳
锦州,沈阳,沈阳
长春,长春,沈阳
哈尔滨,哈尔滨,沈阳
上海,上海,上海
南京,南京,上海
常州,南京,上海
无锡,南京,上海
苏州,南京,上海
徐州,南京,上海
连云港,南京,上海
淮安,南京,上海
盐城,南京,上海
扬州,南京,上海
南通,南京,上海
杭州,杭州,上海
湖州,杭州,上海
嘉兴,杭州,上海
宁波,杭州,上海
台州,杭州,上海
金华,杭州,上海
义乌,杭州,上海
温州,杭州,上海
合肥,合肥,武汉
蚌埠,合肥,武汉
芜湖,合肥,上海
安庆,合肥,武汉
福州,福州,上海
厦门,福州,广州
泉州,福州,广州
南昌,南昌,武汉
鹰潭,南昌,武汉
赣州,南昌,广州
济南,济南,北京
潍坊,济南,北京
烟台,济南,北京
青岛,济南,北京
济宁,济南,北京
临沂,济南,上海
郑州,郑州,西安
漯河,郑州,武汉
信阳,郑州,武汉
洛阳,郑州,西安
武汉,武汉,武汉
荆州,武汉,武汉
襄阳,武汉,武汉
长沙,长沙,武汉
常德,长沙,武汉
衡阳,长沙,武汉
广州,广州,广州
汕头,广州,广州
深圳,广州,广州
东莞,广州,广州
湛江,广州,广州
中山,广州,广州
南宁,南宁,广州
柳州,南宁,广州
海口,海口,广州
重庆,重庆,成都
成都,成都,成都
南充,成都,成都
内江,成都,成都
贵阳,贵阳,成都
昆明,昆明,成都
大理州,昆明,成都
拉萨,拉萨,成都
西安,西安,西安
宝鸡,西安,西安
兰州,兰州,西安
西宁,西宁,西安
银川,银川,西安
乌鲁木齐,乌鲁木齐,西安
阿克苏,乌鲁木齐,西安
喀什,乌鲁木齐,西安
