收寄城市,寄达城市,流量
南京,常州,2483
南京,淮安,466
无锡,连云港,271
苏州,徐州,1142
连云港,苏州,593
徐州,盐城,1039
常州,南通,765
南通,苏州,3043
南通,盐城,768
杭州,温州,1186
嘉兴,宁波,521
台州,宁波,950
长沙,长沙,8231
武汉,襄阳,1718
汕头,中山,594
石家庄,西安,4000
石家庄,太原,2659
石家庄,南京,1260
石家庄,阿克苏,289
天津,信阳,731
廊坊,侯马,175
廊坊,南昌,234
廊坊,厦门,154
廊坊,郑州,392
廊坊,南充,117
保定,合肥,385
保定,济南,1647
保定,信阳,606
保定,常州,174
保定,襄阳,129
北京,西安,1728
沈阳,合肥,387
沈阳,蚌埠,245
长春,信阳,200
长春,贵阳,381
哈尔滨,长春,2789
南京,哈尔滨,1812
南京,锦州,422
南京,洛阳,692
南京,汕头,838
扬州,郑州,858
扬州,漯河,342
常州,厦门,1112
无锡,福州,551
无锡,银川,245
无锡,石家庄,671
无锡,金华,372
无锡,长沙,685
无锡,汕头,268
无锡,南宁,408
无锡,海口,265
无锡,成都,1052
苏州,广州,2333
苏州,济南,1546
苏州,青岛,814
徐州,北京,4978
徐州,湛江,1134
徐州,贵阳,3675
徐州,海口,2105
连云港,南昌,335
连云港,银川,154
连云港,昆明,243
淮安,石家庄,185
淮安,漯河,109
淮安,金华,201
徐州,侯马,1388
徐州,芜湖,1118
盐城,合肥,311
盐城,厦门,184
盐城,郑州,587
扬州,北京,542
扬州,洛阳,259
扬州,汕头,258
扬州,南充,228
常州,哈尔滨,2018
常州,芜湖,516
常州,襄阳,406
常州,南充,637
常州,兰州,888
南通,太原,781
南通,青岛,1085
南通,宁波,1292
南通,武汉,2065
南通,南宁,1172
南通,西安,1777
合肥,北京,2750
合肥,芜湖,1205
合肥,福州,2412
安庆,侯马,565
安庆,宁波,808
安庆,南昌,1233
安庆,汕头,861
安庆,南宁,1378
安庆,兰州,686
蚌埠,沈阳,2340
蚌埠,漯河,979
蚌埠,西安,2553
济南,郑州,3472
济南,乌鲁木齐,1071
潍坊,郑州,511
临沂,信阳,260
杭州,天津,1029
杭州,衡阳,404
杭州,广州,2680
杭州,南宁,1023
杭州,柳州,374
杭州,银川,382
湖州,石家庄,489
湖州,常州,172
湖州,济南,731
湖州,青岛,250
嘉兴,石家庄,330
嘉兴,沈阳,441
嘉兴,汕头,217
嘉兴,成都,571
嘉兴,海口,145
嘉兴,兰州,236
嘉兴,大理州,77
宁波,石家庄,1419
宁波,南昌,1441
宁波,福州,1510
宁波,襄阳,353
宁波,昆明,1169
宁波,大理州,263
台州,锦州,179
台州,徐州,717
台州,合肥,1006
台州,信阳,647
台州,汕头,666
台州,成都,1478
台州,银川,287
金华,长春,2860
金华,洛阳,1656
金华,广州,8965
金华,柳州,1326
金华,西安,5023
金华,兰州,1908
金华,鹰潭,593
温州,侯马,324
温州,合肥,773
温州,洛阳,338
温州,广州,2237
