收寄城市,寄达城市,流量
南京,常州,198
南京,淮安,43
无锡,连云港,39
苏州,徐州,158
连云港,苏州,86
徐州,盐城,64
常州,南通,83
南通,苏州,134
南通,盐城,40
杭州,温州,542
嘉兴,宁波,184
台州,宁波,274
长沙,长沙,491
武汉,襄阳,95
汕头,中山,73
石家庄,西安,338
石家庄,太原,226
石家庄,南京,106
石家庄,阿克苏,27
天津,信阳,24
廊坊,侯马,23
廊坊,南昌,26
廊坊,厦门,18
廊坊,郑州,44
廊坊,南充,13
保定,合肥,46
保定,济南,193
保定,信阳,77
保定,常州,25
保定,襄阳,18
北京,西安,78
沈阳,合肥,54
沈阳,蚌埠,36
长春,信阳,12
长春,贵阳,20
哈尔滨,长春,80
南京,哈尔滨,152
南京,锦州,38
南京,洛阳,63
南京,汕头,75
扬州,郑州,80
扬州,漯河,34
常州,厦门,112
无锡,福州,75
无锡,银川,34
无锡,石家庄,87
无锡,金华,49
无锡,长沙,91
无锡,汕头,36
无锡,南宁,53
无锡,海口,35
无锡,成都,140
苏州,广州,292
苏州,济南,197
苏州,青岛,100
徐州,北京,244
徐州,湛江,68
徐州,贵阳,215
徐州,海口,112
连云港,南昌,51
连云港,银川,23
连云港,昆明,35
淮安,石家庄,22
淮安,漯河,12
淮安,金华,20
徐州,侯马,80
徐州,芜湖,66
盐城,合肥,55
盐城,厦门,36
盐城,郑州,109
扬州,北京,50
扬州,洛阳,25
扬州,汕头,26
扬州,南充,24
常州,哈尔滨,200
常州,芜湖,55
常州,襄阳,44
常州,南充,69
常州,兰州,91
南通,太原,36
南通,青岛,50
南通,宁波,56
南通,武汉,92
南通,南宁,52
南通,西安,80
合肥,北京,261
合肥,芜湖,120
合肥,福州,226
安庆,侯马,63
安庆,宁波,78
安庆,南昌,128
安庆,汕头,87
安庆,南宁,138
安庆,兰州,72
蚌埠,沈阳,219
蚌埠,漯河,96
蚌埠,西安,245
济南,郑州,298
济南,乌鲁木齐,91
潍坊,郑州,35
临沂,信阳,25
杭州,天津,434
杭州,衡阳,176
杭州,广州,1133
杭州,南宁,429
杭州,柳州,165
杭州,银川,163
湖州,石家庄,182
湖州,常州,64
湖州,济南,275
湖州,青岛,94
嘉兴,石家庄,109
嘉兴,沈阳,147
嘉兴,汕头,74
嘉兴,成都,194
嘉兴,海口,47
嘉兴,兰州,79
嘉兴,大理州,26
宁波,石家庄,175
宁波,南昌,185
宁波,福州,190
宁波,襄阳,46
宁波,昆明,146
宁波,大理州,34
台州,锦州,52
台州,徐州,198
台州,合肥,274
台州,信阳,180
台州,汕头,185
台州,成都,417
台州,银川,79
金华,长春,388
金华,洛阳,223
金华,广州,1166
金华,柳州,183
金华,西安,662
金华,兰州,252
金华,鹰潭,83
温州,侯马,85
温州,合肥,184
温州,洛阳,88
温州,广州,542
温州,柳州,78
南昌,天津,145
南昌,西安,232
鹰潭,郑州,32
福州,济南,121
福州,湛江,39
泉州,哈尔滨,47
泉州,呼和浩特,29
泉州,石家庄,45
泉州,南京,38
泉州,济南,76
泉州,武汉,71
泉州,信阳,30
泉州,南充,22
厦门,汕头,43
重庆,广州,121
重庆,呼和浩特,61
重庆,侯马,19
重庆,徐州,23
重庆,南昌,47
重庆,襄阳,12
重庆,昆明,95
重庆,西安,76
长沙,侯马,78
长沙,天津,168
长沙,长春,113
长沙,常州,77
长沙,青岛,117
长沙,襄阳,53
常德,杭州,19
衡阳,石家庄,32
武汉,呼和浩特,108
武汉,北京,270
武汉,杭州,162
荆州,常州,11
武汉,阿克苏,30
郑州,合肥,165
郑州,杭州,184
郑州,广州,520
郑州,西安,379
郑州,洛阳,133
洛阳,天津,105
洛阳,哈尔滨,128
洛阳,合肥,67
洛阳,南京,57
洛阳,芜湖,25
信阳,信阳,19
郑州,襄阳,58
汕头,锦州,12
汕头,济南,63
汕头,南充,29
汕头,昆明,57
湛江,武汉,23
湛江,湛江,6
中山,汕头,81
成都,乌鲁木齐,44
成都,南宁,67
昆明,中山,25
石家庄,唐山,91
石家庄,泉州,68
石家庄,扬州,28
石家庄,包头,36
石家庄,宝鸡,25
天津,泉州,10
唐山,廊坊,9
唐山,沈阳,19
唐山,哈尔滨,16
唐山,郑州,14
唐山,信阳,6
唐山,呼和浩特,6
唐山,锦州,5
唐山,临沂,5
唐山,南昌,6
北京,长春,62
北京,武汉,57
北京,昆明,43
廊坊,呼和浩特,24
廊坊,大连,16
廊坊,嘉兴,8
廊坊,宝鸡,5
保定,上海,82
保定,重庆,56
保定,蚌埠,29
保定,安庆,15
保定,济宁,36
保定,台州,15
保定,义乌,7
北京,呼和浩特,30
北京,蚌埠,15
北京,芜湖,10
北京,南宁,33
北京,保定,17
北京,大连,17
沈阳,唐山,70
沈阳,杭州,77
沈阳,苏州,79
沈阳,淮安,12
沈阳,芜湖,21
沈阳,泉州,26
长春,廊坊,8
长春,常州,7
长春,蚌埠,7
长春,泉州,6
长春,重庆,11
长春,洛阳,7
哈尔滨,呼和浩特,22
哈尔滨,廊坊,15
哈尔滨,合肥,14
哈尔滨,杭州,27
哈尔滨,嘉兴,10
哈尔滨,厦门,15
哈尔滨,郑州,30
哈尔滨,信阳,12
哈尔滨,贵阳,15
哈尔滨,成都,33
哈尔滨,兰州,13
南京,泉州,61
南京,衡阳,55
南京,东莞,83
南京,银川,56
南京,西宁,18
南京,阿克苏,19
南京,深圳,132
扬州,赣州,14
扬州,海口,31
淮安,上海,92
淮安,温州,25
淮安,汕头,13
淮安,深圳,25
淮安,东莞,21
常州,泉州,80
常州,重庆,141
无锡,台州,34
无锡,泉州,29
苏州,鹰潭,19
苏州,重庆,105
苏州,常德,32
徐州,烟台,55
徐州,赣州,52
徐州,深圳,174
徐州,内江,15
连云港,保定,24
连云港,淮安,12
连云港,安庆,13
连云港,临沂,24
连云港,台州,16
连云港,荆州,7
连云港,内江,5
连云港,宝鸡,6
淮安,阿克苏,9
淮安,泉州,11
淮安,洛阳,10
淮安,常德,7
盐城,唐山,14
盐城,济宁,25
盐城,成都,72
扬州,包头,10
扬州,淮安,13
扬州,内江,5
扬州,大理州,14
常州,宝鸡,17
常州,西宁,11
合肥,大连,74
合肥,连云港,34
合肥,淮安,23
合肥,潍坊,81
合肥,湖州,36
合肥,温州,97
合肥,海口,61
安庆,临沂,37
安庆,荆州,15
蚌埠,无锡,54
蚌埠,嘉兴,42
蚌埠,重庆,118
蚌埠,洛阳,69
蚌埠,湖州,24
芜湖,上海,116
芜湖,南京,45
芜湖,徐州,35
芜湖,泉州,26
芜湖,长沙,84
芜湖,深圳,57
芜湖,保定,21
芜湖,银川,33
芜湖,无锡,19
济南,太原,209
济南,大连,87
济南,长春,203
济南,上海,317
济南,苏州,137
济南,蚌埠,81
济南,杭州,159
济南,金华,64
济南,南昌,140
济南,重庆,161
济南,南通,48
潍坊,深圳,19
潍坊,成都,35
潍坊,保定,10
潍坊,长沙,25
潍坊,洛阳,12
潍坊,中山,16
潍坊,乌鲁木齐,14
潍坊,临沂,12
潍坊,泉州,8
青岛,杭州,33
青岛,广州,66
青岛,贵阳,27
青岛,锦州,15
青岛,金华,14
济宁,上海,43
济宁,合肥,17
济宁,温州,10
济宁,南昌,22
济宁,衡阳,10
济宁,武汉,35
济宁,东莞,17
济宁,兰州,27
临沂,长春,31
临沂,徐州,20
临沂,福州,24
临沂,泉州,12
临沂,贵阳,40
临沂,兰州,29
济宁,大连,11
济宁,锦州,11
济宁,临沂,12
济宁,泉州,8
临沂,保定,13
临沂,安庆,8
临沂,常德,8
济宁,银川,8
杭州,包头,57
杭州,上海,1318
杭州,深圳,433
湖州,保定,65
湖州,潍坊,51
湖州,嘉兴,58
湖州,鹰潭,33
湖州,泉州,88
湖州,衡阳,71
湖州,东莞,117
嘉兴,盐城,42
嘉兴,赣州,36
宁波,无锡,74
宁波,东莞,123
宁波,西宁,16
金华,包头,56
金华,廊坊,91
金华,淮安,73
金华,扬州,110
金华,济宁,170
金华,深圳,420
金华,东莞,350
温州,无锡,93
温州,唐山,51
温州,保定,62
温州,淮安,29
南昌,保定,52
南昌,深圳,174
南昌,盐城,36
南昌,安庆,43
南昌,义乌,25
鹰潭,重庆,21
鹰潭,长沙,29
鹰潭,衡阳,11
鹰潭,苏州,15
鹰潭,湛江,8
福州,常州,37
福州,金华,42
福州,海口,43
福州,台州,31
福州,乌鲁木齐,28
福州,鹰潭,17
福州,襄阳,27
厦门,石家庄,34
厦门,长春,23
厦门,重庆,30
泉州,海口,50
泉州,大连,11
泉州,淮安,6
泉州,济宁,17
泉州,湖州,10
厦门,湛江,24
厦门,海口,22
重庆,烟台,13
重庆,扬州,8
重庆,赣州,12
重庆,荆州,6
长沙,南通,48
长沙,湖州,34
长沙,赣州,69
长沙,西宁,16
常德,包头,4
常德,南昌,14
常德,武汉,21
常德,东莞,14
常德,南宁,15
常德,兰州,6
衡阳,北京,44
衡阳,青岛,20
衡阳,天津,27
衡阳,徐州,13
衡阳,合肥,22
衡阳,南昌,33
衡阳,台州,9
武汉,济宁,41
荆州,上海,44
荆州,泉州,11
荆州,郑州,25
荆州,东莞,26
荆州,成都,37
荆州,嘉兴,8
武汉,西宁,21
襄阳,南昌,22
襄阳,福州,16
襄阳,泉州,8
襄阳,湛江,6
襄阳,柳州,10
襄阳,成都,29
郑州,廊坊,49
郑州,盐城,44
郑州,宝鸡,26
洛阳,无锡,35
洛阳,济宁,33
洛阳,泉州,35
洛阳,昆明,64
洛阳,包头,16
洛阳,鹰潭,16
洛阳,淮安,10
洛阳,湖州,15
漯河,武汉,48
漯河,唐山,14
漯河,济宁,16
漯河,杭州,36
漯河,宁波,21
漯河,温州,19
信阳,太原,43
信阳,长春,43
信阳,苏州,31
信阳,济南,70
信阳,天津,47
信阳,贵阳,50
信阳,成都,70
信阳,保定,18
信阳,常州,16
信阳,无锡,15
信阳,金华,18
信阳,温州,17
信阳,武汉,54
信阳,深圳,37
信阳,中山,29
洛阳,义乌,14
信阳,锦州,15
广州,上海,249
广州,常州,61
广州,蚌埠,59
广州,常德,64
广州,郑州,198
广州,西宁,57
广州,大连,52
广州,安庆,39
汕头,南京,19
汕头,无锡,12
汕头,苏州,24
汕头,烟台,12
汕头,临沂,17
汕头,衡阳,31
汕头,东莞,72
汕头,大理州,13
广州,鹰潭,30
湛江,呼和浩特,6
湛江,南昌,17
湛江,柳州,10
湛江,大连,5
湛江,无锡,6
湛江,芜湖,5
湛江,安庆,5
湛江,济宁,4
湛江,临沂,4
湛江,台州,5
中山,武汉,79
中山,昆明,53
中山,保定,20
中山,烟台,14
中山,金华,22
中山,衡阳,27
中山,南充,27
中山,银川,17
贵阳,北京,18
贵阳,杭州,17
贵阳,宁波,12
贵阳,南昌,12
贵阳,武汉,17
贵阳,郑州,13
海口,北京,10
海口,南京,4
海口,武汉,7
海口,东莞,5
成都,哈尔滨,88
成都,福州,54
成都,烟台,18
成都,襄阳,17
成都,信阳,35
成都,深圳,68
昆明,厦门,17
昆明,郑州,25
昆明,西安,28
昆明,临沂,6
昆明,温州,15
昆明,常德,7
西安,天津,64
西安,汕头,54
西安,深圳,116
西安,侯马,59
西安,漯河,29
沈阳,安庆,16
合肥,阿克苏,15
信阳,湛江,13
呼和浩特,济南,14
呼和浩特,武汉,9
锦州,上海,4
锦州,济南,5
锦州,广州,5
太原,郑州,15
天津,淮安,4
天津,盐城,7
天津,安庆,7
天津,台州,7
天津,常德,5
天津,大理州,5
天津,阿克苏,4
沈阳,赣州,12
哈尔滨,湖州,6
哈尔滨,南充,7
合肥,内江,18
芜湖,荆州,8
芜湖,大理州,10
济南,连云港,29
济南,西宁,19
青岛,芜湖,9
青岛,南宁,10
厦门,连云港,8
厦门,烟台,8
厦门,济宁,9
厦门,银川,11
常德,厦门,8
洛阳,西宁,6
漯河,廊坊,9
漯河,安庆,10
漯河,襄阳,11
信阳,廊坊,10
信阳,临沂,14
信阳,湖州,7
信阳,荆州,5
漯河,淮安,5
信阳,拉萨,3
郑州,喀什,5
中山,西宁,8
中山,阿克苏,10
南宁,呼和浩特,5
南宁,苏州,13
南宁,宁波,10
南宁,金华,9
南宁,福州,20
南宁,厦门,13
南宁,重庆,24
柳州,南昌,4
柳州,成都,7
柳州,西安,4
南充,上海,16
南充,西安,20
南充,青岛,8
大理州,大连,4
大理州,南京,3
大理州,西安,5
西安,扬州,13
西安,蚌埠,20
西安,嘉兴,23
西安,常德,16
西安,宝鸡,30
西安,乌鲁木齐,100
烟台,济南,36
义乌,温州,391
西宁,西宁,50
乌鲁木齐,乌鲁木齐,44
太原,锦州,4
大连,天津,12
大连,漯河,4
上海,蚌埠,43
上海,合肥,93
上海,济南,177
上海,杭州,164
上海,武汉,192
烟台,哈尔滨,21
烟台,常州,6
烟台,贵阳,10
临沂,银川,8
义乌,蚌埠,340
赣州,汕头,5
赣州,南宁,9
常德,漯河,5
荆州,洛阳,8
深圳,呼和浩特,55
深圳,哈尔滨,108
深圳,太原,79
深圳,南京,110
深圳,郑州,138
深圳,南充,67
东莞,南昌,140
东莞,柳州,79
东莞,成都,246
东莞,昆明,126
南宁,襄阳,5
南充,合肥,7
银川,哈尔滨,8
呼和浩特,徐州,3
呼和浩特,潍坊,3
