城市名称,所属省份,所属中心局,所属省市中心
北京,北京,北京,北京
天津,天津,天津,天津
石家庄,河北,石家庄,石家庄
唐山,河北,唐山,石家庄
廊坊,河北,廊坊,石家庄
保定,河北,保定,石家庄
太原,山西,太原,太原
侯马,山西,侯马,太原
呼和浩特,内蒙古,呼和浩特,呼和浩特
包头,内蒙古,包头,呼和浩特
沈阳,辽宁,沈阳,沈阳
大连,辽宁,大连,沈阳
锦州,辽宁,锦州,沈阳
长春,吉林,长春,长春
哈尔滨,黑龙江,哈尔滨,哈尔滨
上海,上海,上海,上海
南京,江苏,南京,南京
常州,江苏,常州,南京
无锡,江苏,无锡,南京
苏州,江苏,苏州,南京
徐州,江苏,徐州,南京
连云港,江苏,连云港,南京
淮安,江苏,淮安,南京
盐城,江苏,盐城,南京
扬州,江苏,扬州,南京
南通,江苏,南通,南京
杭州,浙江,杭州,杭州
湖州,浙江,湖州,杭州
嘉兴,浙江,嘉兴,杭州
宁波,浙江,宁波,杭州
台州,浙江,台州,杭州
金华,浙江,金华,杭州
义乌,浙江,义乌,杭州
温州,浙江,温州,杭州
合肥,安徽,合肥,合肥
蚌埠,安徽,蚌埠,合肥
芜湖,安徽,芜湖,合肥
安庆,安徽,安庆,合肥
福州,福建,福州,福州
厦门,福建,厦门,福州
泉州,福建,泉州,福州
南昌,江西,南昌,南昌
鹰潭,江西,鹰潭,南昌
赣州,江西,赣州,南昌
济南,山东,济南,济南
潍坊,山东,潍坊,济南
烟台,山东,烟台,济南
青岛,山东,青岛,济南
济宁,山东,济宁,济南
临沂,山东,临沂,济南
郑州,河南,郑州,郑州
漯河,河南,漯河,郑州
信阳,河南,信阳,郑州
洛阳,河南,洛阳,郑州
武汉,湖北,武汉,武汉
荆州,湖北,荆州,武汉
襄阳,湖北,襄阳,武汉
长沙,湖南,长沙,长沙
常德,湖南,常德,长沙
衡阳,湖南,衡阳,长沙
广州,广东,广州,广州
汕头,广东,汕头,广州
深圳,广东,深圳,广州
东莞,广东,东莞,广州
湛江,广东,湛江,广州
中山,广东,中山,广州
南宁,广西,南宁,南宁
柳州,广西,柳州,南宁
海口,海南,海口,海口
重庆,重庆,重庆,重庆
成都,四川,成都,成都
南充,四川,南充,成都
内江,四川,内江,成都
贵阳,贵州,贵阳,贵阳
昆明,云南,昆明,昆明
大理州,云南,大理州,昆明
拉萨,西藏,拉萨,拉萨
西安,陕西,西安,西安
宝鸡,陕西,宝鸡,西安
兰州,甘肃,兰州,兰州
西宁,青海,西宁,西宁
银川,宁夏,银川,银川
乌鲁木齐,新疆,乌鲁木齐,乌鲁木齐
阿克苏,新疆,阿克苏,乌鲁木齐
喀什,新疆,喀什,乌鲁木齐
