收寄城市,寄达城市,经转次数,路线
北京,天津,0,北京-天津
北京,石家庄,0,北京-石家庄
北京,太原,0,北京-太原
北京,呼和浩特,0,北京-呼和浩特
北京,沈阳,0,北京-沈阳
北京,长春,0,北京-长春
北京,哈尔滨,0,北京-哈尔滨
北京,上海,0,北京-上海
北京,南京,0,北京-南京
北京,杭州,0,北京-杭州
北京,合肥,1,北京-徐州-合肥
北京,福州,0,北京-福州
北京,南昌,0,北京-南昌
北京,济南,0,北京-济南
北京,郑州,0,北京-郑州
北京,武汉,0,北京-武汉
北京,长沙,0,北京-长沙
北京,广州,0,北京-广州
北京,南宁,1,北京-武汉-南宁
北京,海口,1,北京-长沙-海口
北京,重庆,0,北京-重庆
北京,成都,0,北京-成都
北京,贵阳,0,北京-贵阳
北京,昆明,1,北京-西安-昆明
北京,拉萨,1,北京-西宁-拉萨
北京,西安,0,北京-西安
北京,兰州,0,北京-兰州
北京,西宁,0,北京-西宁
北京,银川,0,北京-银川
北京,乌鲁木齐,1,北京-兰州-乌鲁木齐
北京,唐山,0,北京-唐山
北京,廊坊,0,北京-廊坊
北京,保定,0,北京-保定
北京,侯马,0,北京-侯马
北京,包头,1,北京-呼和浩特-包头
北京,大连,0,北京-大连
北京,锦州,0,北京-锦州
北京,常州,1,北京-徐州-常州
北京,无锡,1,北京-廊坊-无锡
北京,苏州,1,北京-徐州-苏州
北京,徐州,0,北京-徐州
北京,连云港,1,北京-徐州-连云港
北京,淮安,1,北京-徐州-淮安
北京,盐城,1,北京-徐州-盐城
北京,扬州,1,北京-徐州-扬州
北京,南通,1,北京-徐州-南通
北京,湖州,1,北京-南京-湖州
北京,嘉兴,1,北京-南京-嘉兴
北京,宁波,1,北京-上海-宁波
北京,台州,1,北京-南京-台州
北京,金华,1,北京-南京-金华
北京,义乌,1,北京-杭州-义乌
北京,温州,1,北京-南京-温州
北京,蚌埠,1,北京-徐州-蚌埠
北京,芜湖,1,北京-南京-芜湖
北京,安庆,1,北京-南京-安庆
北京,厦门,1,北京-徐州-厦门
北京,泉州,1,北京-福州-泉州
北京,鹰潭,1,北京-徐州-鹰潭
北京,赣州,1,北京-南昌-赣州
北京,潍坊,1,北京-济南-潍坊
北京,烟台,1,北京-青岛-烟台
北京,青岛,0,北京-青岛
北京,济宁,1,北京-济南-济宁
北京,临沂,1,北京-济南-临沂
北京,漯河,1,北京-郑州-漯河
北京,信阳,1,北京-郑州-信阳
北京,洛阳,1,北京-郑州-洛阳
北京,荆州,1,北京-武汉-荆州
北京,襄阳,1,北京-郑州-襄阳
北京,常德,1,北京-长沙-常德
北京,衡阳,1,北京-长沙-衡阳
北京,汕头,1,北京-福州-汕头
北京,深圳,1,北京-武汉-深圳
北京,东莞,1,北京-广州-东莞
北京,湛江,1,北京-广州-湛江
北京,中山,1,北京-广州-中山
北京,柳州,1,北京-徐州-柳州
北京,南充,1,北京-重庆-南充
北京,内江,1,北京-重庆-内江
北京,大理州,2,北京-西安-昆明-大理州
北京,宝鸡,1,北京-西安-宝鸡
北京,阿克苏,1,北京-兰州-阿克苏
北京,喀什,2,北京-兰州-阿克苏-喀什
天津,北京,0,天津-北京
天津,石家庄,0,天津-石家庄
天津,太原,0,天津-太原
天津,呼和浩特,0,天津-呼和浩特
天津,沈阳,0,天津-沈阳
天津,长春,0,天津-长春
天津,哈尔滨,0,天津-哈尔滨
天津,上海,0,天津-上海
天津,南京,0,天津-南京
天津,杭州,0,天津-杭州
天津,合肥,1,天津-济南-合肥
天津,福州,1,天津-济南-福州
天津,南昌,0,天津-南昌
天津,济南,0,天津-济南
天津,郑州,0,天津-郑州
天津,武汉,0,天津-武汉
天津,长沙,0,天津-长沙
天津,广州,0,天津-广州
天津,南宁,1,天津-武汉-南宁
天津,海口,1,天津-长沙-海口
天津,重庆,1,天津-石家庄-重庆
天津,成都,1,天津-西安-成都
天津,贵阳,1,天津-郑州-贵阳
