收寄城市,寄达城市,运量（重量）
北京,北京,0.0
北京,天津,8838.901600000001
北京,石家庄,5717.9394
北京,唐山,3815.2082
北京,廊坊,3187.0138
北京,保定,5921.0254
北京,太原,4923.835
北京,侯马,7268.461400000001
北京,呼和浩特,14238.3146
北京,包头,0.0
北京,沈阳,13461.314400000001
北京,大连,41555.7456
北京,锦州,27966.456000000002
北京,长春,12529.9822
北京,哈尔滨,14411.729200000002
北京,上海,7802.440200000001
北京,南京,8249.0658
北京,常州,0.0
北京,无锡,0.0
北京,苏州,0.0
北京,徐州,15787.245
北京,连云港,0.0
北京,淮安,0.0
北京,盐城,0.0
北京,扬州,0.0
北京,南通,0.0
北京,杭州,2879.9886
北京,湖州,0.0
北京,嘉兴,0.0
北京,宁波,0.0
北京,台州,0.0
北京,金华,0.0
北京,义乌,0.0
北京,温州,0.0
北京,合肥,0.0
北京,蚌埠,0.0
北京,芜湖,0.0
北京,安庆,0.0
北京,福州,5389.535800000001
北京,厦门,0.0
北京,泉州,0.0
北京,南昌,3644.3596000000002
北京,鹰潭,0.0
北京,赣州,0.0
北京,济南,11311.9372
北京,潍坊,0.0
北京,烟台,0.0
北京,青岛,16482.5422
北京,济宁,0.0
北京,临沂,0.0
北京,郑州,11948.092400000001
北京,漯河,0.0
北京,信阳,0.0
北京,洛阳,0.0
北京,武汉,10029.1074
北京,荆州,0.0
北京,襄阳,0.0
北京,长沙,8311.4308
北京,常德,0.0
北京,衡阳,0.0
北京,广州,9794.0542
北京,汕头,0.0
北京,深圳,0.0
北京,东莞,0.0
北京,湛江,0.0
北京,中山,0.0
北京,南宁,0.0
北京,柳州,0.0
北京,海口,0.0
北京,重庆,5087.379800000001
北京,成都,6361.1976
北京,南充,0.0
北京,内江,0.0
北京,贵阳,7733.8994
北京,昆明,0.0
北京,大理州,0.0
北京,拉萨,0.0
北京,西安,10505.860600000002
北京,宝鸡,0.0
北京,兰州,10446.069000000001
北京,西宁,4455.6376
北京,银川,9343.2312
北京,乌鲁木齐,0.0
北京,阿克苏,0.0
北京,喀什,0.0
天津,北京,19612.6256
天津,天津,0.0
天津,石家庄,13188.745600000002
天津,唐山,63992.584200000005
天津,廊坊,4621.547600000001
天津,保定,0.0
天津,太原,9647.474800000002
天津,侯马,0.0
天津,呼和浩特,7479.895
天津,包头,0.0
天津,沈阳,25053.5184
天津,大连,0.0
天津,锦州,0.0
天津,长春,21026.722999999998
天津,哈尔滨,79767.30920000002
天津,上海,20053.8786
天津,南京,16237.9366
天津,常州,0.0
天津,无锡,0.0
天津,苏州,0.0
天津,徐州,0.0
天津,连云港,0.0
天津,淮安,0.0
天津,盐城,0.0
天津,扬州,0.0
天津,南通,0.0
天津,杭州,4507.5378
天津,湖州,0.0
天津,嘉兴,0.0
天津,宁波,0.0
天津,台州,0.0
天津,金华,0.0
天津,义乌,0.0
天津,温州,0.0
天津,合肥,0.0
天津,蚌埠,0.0
天津,芜湖,0.0
天津,安庆,0.0
