收寄城市,寄达城市,大件运量
北京,北京,0.0
北京,天津,2782.0
北京,石家庄,1788.0
北京,唐山,1139.0
北京,廊坊,976.0
北京,保定,1783.0
北京,太原,1525.0
北京,侯马,2153.0
北京,呼和浩特,4292.0
北京,包头,0.0
北京,沈阳,4038.0
北京,大连,12162.0
北京,锦州,8445.0
北京,长春,3694.0
北京,哈尔滨,4309.0
北京,上海,2454.0
北京,南京,2541.0
北京,常州,0.0
北京,无锡,0.0
北京,苏州,0.0
北京,徐州,4875.0
北京,连云港,0.0
北京,淮安,0.0
北京,盐城,0.0
北京,扬州,0.0
北京,南通,0.0
北京,杭州,897.0
北京,湖州,0.0
北京,嘉兴,0.0
北京,宁波,0.0
北京,台州,0.0
北京,金华,0.0
北京,义乌,0.0
北京,温州,0.0
北京,合肥,0.0
北京,蚌埠,0.0
北京,芜湖,0.0
北京,安庆,0.0
北京,福州,1666.0
北京,厦门,0.0
北京,泉州,0.0
北京,南昌,1117.0
北京,鹰潭,0.0
北京,赣州,0.0
北京,济南,3544.0
北京,潍坊,0.0
北京,烟台,0.0
北京,青岛,5044.0
北京,济宁,0.0
北京,临沂,0.0
北京,郑州,3698.0
北京,漯河,0.0
北京,信阳,0.0
北京,洛阳,0.0
北京,武汉,3123.0
北京,荆州,0.0
北京,襄阳,0.0
北京,长沙,2566.0
北京,常德,0.0
北京,衡阳,0.0
北京,广州,3034.0
北京,汕头,0.0
北京,深圳,0.0
北京,东莞,0.0
北京,湛江,0.0
北京,中山,0.0
北京,南宁,0.0
北京,柳州,0.0
北京,海口,0.0
北京,重庆,1571.0
北京,成都,1977.0
北京,南充,0.0
北京,内江,0.0
北京,贵阳,2288.0
北京,昆明,0.0
北京,大理州,0.0
北京,拉萨,0.0
北京,西安,3262.0
北京,宝鸡,0.0
北京,兰州,3105.0
北京,西宁,1327.0
北京,银川,2724.0
北京,乌鲁木齐,0.0
北京,阿克苏,0.0
北京,喀什,0.0
天津,北京,6437.0
天津,天津,0.0
天津,石家庄,4237.0
天津,唐山,18159.0
天津,廊坊,1427.0
天津,保定,0.0
天津,太原,3121.0
天津,侯马,0.0
天津,呼和浩特,2275.0
天津,包头,0.0
天津,沈阳,7368.0
天津,大连,0.0
天津,锦州,0.0
天津,长春,6485.0
天津,哈尔滨,23384.0
天津,上海,6147.0
天津,南京,5182.0
天津,常州,0.0
天津,无锡,0.0
天津,苏州,0.0
天津,徐州,0.0
天津,连云港,0.0
天津,淮安,0.0
天津,盐城,0.0
天津,扬州,0.0
天津,南通,0.0
天津,杭州,1431.0
天津,湖州,0.0
天津,嘉兴,0.0
天津,宁波,0.0
天津,台州,0.0
天津,金华,0.0
天津,义乌,0.0
天津,温州,0.0
天津,合肥,0.0
天津,蚌埠,0.0
天津,芜湖,0.0
天津,安庆,0.0
天津,福州,0.0
天津,厦门,0.0
天津,泉州,0.0
天津,南昌,2535.0
天津,鹰潭,0.0
天津,赣州,0.0
天津,济南,11616.0
天津,潍坊,0.0
天津,烟台,0.0
天津,青岛,0.0
天津,济宁,0.0
天津,临沂,0.0
天津,郑州,5052.0
天津,漯河,0.0
天津,信阳,0.0
天津,洛阳,0.0
天津,武汉,3352.0
天津,荆州,0.0
天津,襄阳,0.0
天津,长沙,2679.0
天津,常德,0.0
天津,衡阳,0.0
天津,广州,4809.0
天津,汕头,0.0
天津,深圳,0.0
天津,东莞,0.0
天津,湛江,0.0
天津,中山,0.0
天津,南宁,0.0
天津,柳州,0.0
天津,海口,0.0
天津,重庆,0.0
天津,成都,0.0
天津,南充,0.0
天津,内江,0.0
天津,贵阳,0.0
天津,昆明,0.0
天津,大理州,0.0
天津,拉萨,0.0
天津,西安,6047.0
天津,宝鸡,0.0
天津,兰州,0.0
天津,西宁,0.0
天津,银川,0.0
天津,乌鲁木齐,0.0
天津,阿克苏,0.0
天津,喀什,0.0
石家庄,北京,7757.0
石家庄,天津,3310.0
石家庄,石家庄,0.0
石家庄,唐山,3926.0
石家庄,廊坊,1944.0
石家庄,保定,19613.0
石家庄,太原,4023.0
石家庄,侯马,0.0
石家庄,呼和浩特,3376.0
石家庄,包头,0.0
石家庄,沈阳,3517.0
石家庄,大连,0.0
石家庄,锦州,0.0
石家庄,长春,2420.0
石家庄,哈尔滨,3152.0
石家庄,上海,3074.0
石家庄,南京,9657.0
石家庄,常州,0.0
石家庄,无锡,0.0
石家庄,苏州,0.0
石家庄,徐州,0.0
石家庄,连云港,0.0
石家庄,淮安,0.0
石家庄,盐城,0.0
石家庄,扬州,0.0
石家庄,南通,0.0
石家庄,杭州,1755.0
石家庄,湖州,0.0
石家庄,嘉兴,0.0
石家庄,宁波,0.0
石家庄,台州,0.0
石家庄,金华,0.0
石家庄,义乌,0.0
石家庄,温州,0.0
石家庄,合肥,2029.0
石家庄,蚌埠,1069.0
石家庄,芜湖,0.0
石家庄,安庆,0.0
石家庄,福州,4060.0
石家庄,厦门,0.0
石家庄,泉州,0.0
