收寄城市,寄达城市,集包件运量
北京,北京,0.0
北京,天津,116.0
北京,石家庄,79.0
北京,唐山,71.0
北京,廊坊,51.0
北京,保定,105.0
北京,太原,73.0
北京,侯马,141.0
北京,呼和浩特,251.0
北京,包头,0.0
北京,沈阳,244.0
北京,大连,856.0
北京,锦州,488.0
北京,长春,249.0
北京,哈尔滨,266.0
北京,上海,103.0
北京,南京,127.0
北京,常州,0.0
北京,无锡,0.0
北京,苏州,0.0
北京,徐州,239.0
北京,连云港,0.0
北京,淮安,0.0
北京,盐城,0.0
北京,扬州,0.0
北京,南通,0.0
北京,杭州,41.0
北京,湖州,0.0
北京,嘉兴,0.0
北京,宁波,0.0
北京,台州,0.0
北京,金华,0.0
北京,义乌,0.0
北京,温州,0.0
北京,合肥,0.0
北京,蚌埠,0.0
北京,芜湖,0.0
北京,安庆,0.0
北京,福州,81.0
北京,厦门,0.0
北京,泉州,0.0
北京,南昌,58.0
北京,鹰潭,0.0
北京,赣州,0.0
北京,济南,154.0
北京,潍坊,0.0
北京,烟台,0.0
北京,青岛,265.0
北京,济宁,0.0
北京,临沂,0.0
北京,郑州,178.0
北京,漯河,0.0
北京,信阳,0.0
北京,洛阳,0.0
北京,武汉,143.0
北京,荆州,0.0
北京,襄阳,0.0
北京,长沙,126.0
北京,常德,0.0
北京,衡阳,0.0
北京,广州,145.0
北京,汕头,0.0
北京,深圳,0.0
北京,东莞,0.0
北京,湛江,0.0
北京,中山,0.0
北京,南宁,0.0
北京,柳州,0.0
北京,海口,0.0
北京,重庆,77.0
北京,成都,92.0
北京,南充,0.0
北京,内江,0.0
北京,贵阳,151.0
北京,昆明,0.0
北京,大理州,0.0
北京,拉萨,0.0
北京,西安,153.0
北京,宝鸡,0.0
北京,兰州,199.0
北京,西宁,84.0
北京,银川,196.0
北京,乌鲁木齐,0.0
北京,阿克苏,0.0
北京,喀什,0.0
天津,北京,168.0
天津,天津,0.0
天津,石家庄,144.0
天津,唐山,1511.0
天津,廊坊,70.0
天津,保定,0.0
天津,太原,98.0
天津,侯马,0.0
天津,呼和浩特,125.0
天津,包头,0.0
天津,沈阳,504.0
天津,大连,0.0
天津,锦州,0.0
天津,长春,321.0
天津,哈尔滨,1630.0
天津,上海,319.0
天津,南京,189.0
天津,常州,0.0
天津,无锡,0.0
天津,苏州,0.0
天津,徐州,0.0
天津,连云港,0.0
天津,淮安,0.0
天津,盐城,0.0
天津,扬州,0.0
天津,南通,0.0
天津,杭州,55.0
天津,湖州,0.0
天津,嘉兴,0.0
天津,宁波,0.0
天津,台州,0.0
天津,金华,0.0
天津,义乌,0.0
天津,温州,0.0
天津,合肥,0.0
天津,蚌埠,0.0
天津,芜湖,0.0
天津,安庆,0.0
天津,福州,0.0
天津,厦门,0.0
天津,泉州,0.0
天津,南昌,131.0
天津,鹰潭,0.0
天津,赣州,0.0
天津,济南,324.0
天津,潍坊,0.0
天津,烟台,0.0
天津,青岛,0.0
天津,济宁,0.0
天津,临沂,0.0
天津,郑州,153.0
天津,漯河,0.0
天津,信阳,0.0
天津,洛阳,0.0
天津,武汉,115.0
天津,荆州,0.0
天津,襄阳,0.0
天津,长沙,105.0
天津,常德,0.0
天津,衡阳,0.0
天津,广州,177.0
天津,汕头,0.0
天津,深圳,0.0
天津,东莞,0.0
天津,湛江,0.0
天津,中山,0.0
天津,南宁,0.0
天津,柳州,0.0
天津,海口,0.0
天津,重庆,0.0
天津,成都,0.0
天津,南充,0.0
天津,内江,0.0
天津,贵阳,0.0
天津,昆明,0.0
天津,大理州,0.0
天津,拉萨,0.0
天津,西安,174.0
天津,宝鸡,0.0
天津,兰州,0.0
天津,西宁,0.0
天津,银川,0.0
天津,乌鲁木齐,0.0
天津,阿克苏,0.0
天津,喀什,0.0
石家庄,北京,646.0
石家庄,天津,281.0
石家庄,石家庄,0.0
石家庄,唐山,424.0
石家庄,廊坊,99.0
石家庄,保定,1585.0
