收寄城市,寄达城市,经转次数,路线,总距离,流量_集包,流量_大件,总流量,加权距离,加权经转次数
北京,天津,0,北京-天津,116.0,71,1679,1750,0.042464932437874116,0.0
北京,石家庄,0,北京-石家庄,316.0,64,1453,1517,0.10027832311629849,0.0
北京,太原,0,北京-太原,525.0,61,1334,1395,0.15320322607974413,0.0
北京,呼和浩特,0,北京-呼和浩特,507.0,30,652,682,0.07233137708755412,0.0
北京,沈阳,0,北京-沈阳,690.0,71,1538,1609,0.23224134306331146,0.0
北京,长春,0,北京-长春,981.0,62,1348,1410,0.2893493556521766,0.0
北京,哈尔滨,0,北京-哈尔滨,1241.0,74,1629,1703,0.44210031974211444,0.0
北京,上海,0,北京-上海,1214.0,66,1568,1634,0.41495895230853386,0.0
北京,南京,0,北京-南京,1010.0,35,728,763,0.16120566938226075,0.0
北京,杭州,0,北京-杭州,1291.0,34,749,783,0.21145716428385403,0.0
北京,合肥,1,北京-徐州-合肥,1016.0,28,636,664,0.14112247576831718,0.00013890007457511533
北京,福州,0,北京-福州,1872.0,39,841,880,0.344606064536238,0.0
北京,南昌,0,北京-南昌,1425.0,38,785,823,0.24532911891540798,0.0
北京,济南,0,北京-济南,410.0,84,1875,1959,0.1680167935210646,0.0
北京,郑州,0,北京-郑州,701.0,65,1463,1528,0.22406590222815384,0.0
北京,武汉,0,北京-武汉,1153.0,57,1271,1328,0.320303571970216,0.0
北京,长沙,0,北京-长沙,1499.0,56,1217,1273,0.3991760129612178,0.0
北京,广州,0,北京-广州,2129.0,70,1606,1676,0.7464213881012423,0.0
北京,南宁,1,北京-武汉-南宁,2352.0,33,765,798,0.3926219794724935,0.00016693111372129827
北京,海口,1,北京-长沙-海口,2674.0,25,540,565,0.31604159889884037,0.00011819057550442796
北京,重庆,0,北京-重庆,1828.0,41,974,1015,0.38812948248216944,0.0
北京,成都,0,北京-成都,1919.0,80,1801,1881,0.7550890456163325,0.0
北京,贵阳,0,北京-贵阳,2079.0,42,826,868,0.3774927490604895,0.0
北京,昆明,1,北京-西安-昆明,2595.0,43,955,998,0.5417542200834028,0.00020876848558127275
北京,拉萨,1,北京-西宁-拉萨,3613.0,7,135,142,0.10732248141636239,2.9704534020581894e-05
北京,西安,0,北京-西安,1102.0,78,1728,1806,0.4163261976209178,0.0
北京,兰州,0,北京-兰州,1487.0,31,660,691,0.21494305410722708,0.0
北京,西宁,0,北京-西宁,1669.0,7,148,155,0.054115594566580515,0.0
北京,银川,0,北京-银川,1130.0,24,476,500,0.11819057550442796,0.0
北京,乌鲁木齐,1,北京-兰州-乌鲁木齐,3461.0,21,510,531,0.384441727339572,0.00011107822228823229
北京,唐山,0,北京-唐山,197.0,17,375,392,0.016154246022573353,0.0
北京,廊坊,0,北京-廊坊,47.0,11,252,263,0.002585758767805724,0.0
北京,保定,0,北京-保定,170.0,17,379,396,0.014082459368067417,0.0
北京,侯马,0,北京-侯马,821.0,32,650,682,0.11712832463290321,0.0
北京,包头,1,北京-呼和浩特-包头,695.0,8,192,200,0.02907697344268228,4.18373718599745e-05
北京,大连,0,北京-大连,836.0,17,391,408,0.07135112746487492,0.0
北京,锦州,0,北京-锦州,470.0,11,250,261,0.02566095203031536,0.0
北京,常州,1,北京-徐州-常州,1137.0,18,353,371,0.08824066529788732,7.76083248002527e-05
北京,无锡,1,北京-廊坊-无锡,1122.0,17,351,368,0.08637241745748016,7.698076422235308e-05
北京,苏州,1,北京-徐州-苏州,1223.0,30,647,677,0.17320065308137472,0.00014161950374601368
北京,徐州,0,北京-徐州,694.0,23,480,503,0.0730233672181181,0.0
北京,连云港,1,北京-徐州-连云港,914.0,6,141,147,0.02810592804181227,3.075046831708126e-05
北京,淮安,1,北京-徐州-淮安,889.0,4,89,93,0.017294941966335558,1.9454377914888142e-05
北京,盐城,1,北京-徐州-盐城,1024.0,9,202,211,0.045197749567767655,4.41384273122731e-05
北京,扬州,1,北京-徐州-扬州,1033.0,7,152,159,0.03435831407942616,3.3260710628679724e-05
北京,南通,1,北京-徐州-南通,1200.0,13,267,280,0.07028678472475716,5.85723206039643e-05
北京,湖州,1,北京-南京-湖州,1219.0,5,111,116,0.029579858652439173,2.426567567878521e-05
北京,嘉兴,1,北京-南京-嘉兴,1296.0,11,229,240,0.06506548071663235,5.02048462319694e-05
北京,宁波,1,北京-上海-宁波,1446.0,21,460,481,0.14549489950140312,0.00010061887932323867
北京,台州,1,北京-南京-台州,1562.0,13,239,252,0.08234096830505301,5.271508854356787e-05
北京,金华,1,北京-南京-金华,1467.0,16,308,324,0.0994281877201038,6.77765424131587e-05
北京,义乌,1,北京-杭州-义乌,1428.0,3,74,77,0.02300135030117678,1.6107388166090183e-05
北京,温州,1,北京-南京-温州,1593.0,16,342,358,0.1192980107375615,7.488889562935435e-05
北京,蚌埠,1,北京-徐州-蚌埠,884.0,15,309,324,0.05991446349323228,6.77765424131587e-05
北京,芜湖,1,北京-南京-芜湖,1117.0,10,219,229,0.05350853430089229,4.79037907796708e-05
北京,安庆,1,北京-南京-安庆,1294.0,12,213,225,0.06090475408515788,4.706704334247131e-05
北京,厦门,1,北京-徐州-厦门,2025.0,31,678,709,0.30033480356830944,0.0001483134832436096
北京,泉州,1,北京-福州-泉州,2048.0,16,377,393,0.1683669723235326,8.22104357048499e-05
北京,鹰潭,1,北京-徐州-鹰潭,1480.0,6,118,124,0.0383899724187126,2.593917055318419e-05
北京,赣州,1,北京-南昌-赣州,1814.0,11,230,241,0.09145105602756246,5.041403309126927e-05
北京,潍坊,1,北京-济南-潍坊,612.0,14,349,363,0.046472115914622476,7.593482992585372e-05
北京,烟台,1,北京-青岛-烟台,825.0,17,356,373,0.06437202627805326,7.802669851885245e-05
北京,青岛,0,北京-青岛,671.0,39,914,953,0.13376725660847436,0.0
北京,济宁,1,北京-济南-济宁,610.0,13,290,303,0.03866400720439543,6.338361836786136e-05
北京,临沂,1,北京-济南-临沂,685.0,14,334,348,0.049865963519903606,7.279702703635563e-05
北京,漯河,1,北京-郑州-漯河,881.0,23,474,497,0.09159393065246427,0.00010396586907203664
北京,信阳,1,北京-郑州-信阳,1054.0,24,510,534,0.11773789514090303,0.00011170578286613192
北京,洛阳,1,北京-郑州-洛阳,825.0,25,557,582,0.10044107049283378,0.00012174675211252579
